No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,No2,Ticker2,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
84,KR,The Kroger Co.,Services,Grocery Stores,USA,26924.13,13.79,28.69,-0.45%,9082558,84,KR,0.78,0.72,-9.79%,-12.75%,-13.24%,-25.82%,0.66%,24.85,28.69,-0.45%,-0.49%,0.03%,9082558
85,BKS,"Barnes & Noble, Inc.",Services,"Specialty Retail, Other",USA,630.34,127.54,8.8,2.33%,1086344,85,BKS,2.24,0.4,-10.73%,-15.23%,-21.17%,-33.67%,4.14%,32.96,8.8,2.33%,2.33%,0.00%,1086344
86,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,21802.5,8.87,42.37,-3.49%,8851238,86,AAL,,1.21,-8.09%,-8.58%,6.68%,-16.14%,71.83%,32.62,42.37,-3.49%,-3.11%,-0.39%,8851238
87,ETSY,"Etsy, Inc.",Services,"Specialty Retail, Other",USA,1157.46,,10.05,3.40%,1940186,87,ETSY,,0.49,-14.13%,-17.57%,-17.77%,-37.38%,32.24%,30.18,10.05,3.40%,3.18%,0.21%,1940186
88,SCOR,"comScore, Inc.",Services,Business Services,USA,1262.04,,22.07,4.41%,211105,88,SCOR,,1.08,-4.38%,-21.10%,-24.10%,-36.66%,6.07%,33.39,22.07,4.41%,4.12%,0.28%,211105
89,DAL,"Delta Air Lines, Inc.",Services,Major Airlines,USA,34972.24,8.19,47.35,-1.17%,6966011,89,DAL,0.86,1.03,-4.81%,-4.22%,10.17%,-9.90%,47.30%,36.57,47.35,-1.17%,-1.15%,-0.02%,6966011
90,JCP,"J. C. Penney Company, Inc.",Services,Department Stores,USA,1829.29,,5.99,-5.82%,22405982,90,JCP,0.72,0.29,-9.89%,-13.70%,-30.23%,-49.45%,2.04%,36.16,5.99,-5.82%,-6.11%,0.31%,22405982
91,RRD,R.R. Donnelley & Sons Company,Services,Business Services,USA,974.11,,13.55,-4.17%,2036002,91,RRD,1.52,0.71,-20.26%,-20.05%,-20.25%,-44.10%,-3.21%,24.86,13.55,-4.17%,-3.90%,-0.28%,2036002
92,FRED,"Fred's, Inc.",Services,"Discount, Variety Stores",USA,535.18,,14.78,-2.51%,699148,92,FRED,1.72,0.8,-11.67%,-9.55%,11.28%,-31.88%,89.14%,37.7,14.78,-2.51%,-2.18%,-0.33%,699148
93,GCI,"Gannett Co., Inc.",Services,Publishing - Newspapers,USA,907.57,18.05,7.98,0.88%,720412,93,GCI,,0.3,-5.50%,-11.79%,-25.84%,-52.15%,13.42%,32.81,7.98,0.88%,1.01%,-0.13%,720412
94,SYNA,Synaptics Incorporated,Technology,Application Software,USA,1751.14,45.94,49.89,-2.23%,515991,94,SYNA,1.25,1.38,-8.38%,-9.23%,-11.86%,-45.12%,5.95%,32.46,49.89,-2.23%,-2.10%,-0.14%,515991
95,CSRA,CSRA Inc.,Technology,Information Technology Services,USA,4692.57,24.81,28.81,1.37%,987858,95,CSRA,,0.71,-3.59%,-7.56%,3.62%,-14.10%,32.18%,37.25,28.81,1.37%,1.44%,-0.07%,987858
96,IPHI,Inphi Corporation,Technology,Semiconductor - Broad Line,USA,1810.82,71.96,42.89,-1.88%,991811,96,IPHI,1.46,1.57,-9.81%,-8.50%,4.61%,-17.17%,65.66%,28.58,42.89,-1.88%,-1.90%,0.02%,991811
97,NPTN,NeoPhotonics Corporation,Technology,Semiconductor - Broad Line,USA,386.61,,8.51,-5.55%,2212226,97,NPTN,1.35,0.55,-21.20%,-21.76%,-31.68%,-54.02%,0.24%,25.46,8.51,-5.55%,-5.44%,-0.11%,2212226
98,TDS,"Telephone and Data Systems, Inc.",Technology,Wireless Communications,USA,2821.47,66.98,25.99,-0.35%,685569,98,TDS,1.23,0.78,-10.00%,-11.88%,-8.40%,-21.19%,8.30%,32.74,25.99,-0.35%,-0.50%,0.15%,685569
99,SHOR,"ShoreTel, Inc.",Technology,Communication Equipment,USA,412.66,,6.1,-3.17%,272003,99,SHOR,1.41,0.22,-7.70%,-12.01%,-15.56%,-28.74%,4.63%,26.92,6.1,-3.17%,-2.40%,-0.79%,272003
100,CIEN,Ciena Corporation,Technology,Communication Equipment,USA,3292.71,42.54,23.27,-1.65%,4875831,100,CIEN,1.68,0.7,-8.84%,-6.19%,5.98%,-13.30%,48.98%,30.84,23.27,-1.65%,-1.65%,0.00%,4875831
101,SNCR,"Synchronoss Technologies, Inc.",Technology,Application Software,USA,1191.44,,25.98,-1.22%,538098,101,SNCR,2.17,1.18,-12.58%,-25.47%,-32.27%,-47.98%,2.36%,20.8,25.98,-1.22%,-1.03%,-0.19%,538098
102,IRM,Iron Mountain Incorporated,Technology,Business Software & Services,USA,8932.73,77.83,34.01,-0.67%,907854,102,IRM,1.05,0.58,-6.74%,-3.92%,-4.15%,-15.67%,15.63%,30.27,34.01,-0.67%,0.65%,-1.31%,907854
