No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
78,DKS,"Dick's Sporting Goods, Inc.",Services,Sporting Goods Stores,USA,5273.78,18.45,47.29,-3.17%,4939569,0.55,1.71,-5.30%,-8.12%,-10.66%,-24.43%,26.09%,39.36,47.29,-3.17%,-3.17%,0.00%,4939569
79,KBR,"KBR, Inc.",Services,Technical Services,USA,2057.45,,14.42,-2.30%,1889578,1.34,0.43,-8.54%,-12.40%,-6.03%,-19.30%,20.58%,29.24,14.42,-2.30%,-2.17%,-0.14%,1889578
80,YRCW,YRC Worldwide Inc.,Services,Trucking,USA,388.66,18.16,11.64,0.26%,394786,3.61,0.57,-9.04%,-14.09%,-2.21%,-31.41%,47.16%,35.01,11.64,0.26%,-0.09%,0.34%,394786
101,SNCR,"Synchronoss Technologies, Inc.",Technology,Application Software,USA,1191.44,,25.98,-1.22%,538098,2.17,1.18,-12.58%,-25.47%,-32.27%,-47.98%,2.36%,20.8,25.98,-1.22%,-1.03%,-0.19%,538098
94,SYNA,Synaptics Incorporated,Technology,Application Software,USA,1751.14,45.94,49.89,-2.23%,515991,1.25,1.38,-8.38%,-9.23%,-11.86%,-45.12%,5.95%,32.46,49.89,-2.23%,-2.10%,-0.14%,515991
102,IRM,Iron Mountain Incorporated,Technology,Business Software & Services,USA,8932.73,77.83,34.01,-0.67%,907854,1.05,0.58,-6.74%,-3.92%,-4.15%,-15.67%,15.63%,30.27,34.01,-0.67%,0.65%,-1.31%,907854
106,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2046,22.1,51.15,1.17%,633515,,2.95,-10.69%,-13.54%,-27.46%,-60.27%,89.09%,39.87,51.15,1.17%,1.43%,-0.26%,633515
104,ARRS,ARRIS International plc,Technology,Communication Equipment,USA,4693.74,290.47,24.98,-1.58%,4013927,1.26,0.72,-8.35%,-12.69%,-8.75%,-20.75%,24.59%,30.24,24.98,-1.58%,-1.30%,-0.28%,4013927
100,CIEN,Ciena Corporation,Technology,Communication Equipment,USA,3292.71,42.54,23.27,-1.65%,4875831,1.68,0.7,-8.84%,-6.19%,5.98%,-13.30%,48.98%,30.84,23.27,-1.65%,-1.65%,0.00%,4875831
99,SHOR,"ShoreTel, Inc.",Technology,Communication Equipment,USA,412.66,,6.1,-3.17%,272003,1.41,0.22,-7.70%,-12.01%,-15.56%,-28.74%,4.63%,26.92,6.1,-3.17%,-2.40%,-0.79%,272003
95,CSRA,CSRA Inc.,Technology,Information Technology Services,USA,4692.57,24.81,28.81,1.37%,987858,,0.71,-3.59%,-7.56%,3.62%,-14.10%,32.18%,37.25,28.81,1.37%,1.44%,-0.07%,987858
103,GRUB,GrubHub Inc.,Technology,Internet Information Providers,USA,2938.44,59.86,34.42,1.92%,1871398,,1.17,-3.86%,-9.08%,-6.30%,-22.79%,60.77%,39.58,34.42,1.92%,1.41%,0.50%,1871398
107,FNSR,Finisar Corporation,Technology,Networking & Communication Devices,USA,3830.33,30.47,26.75,-0.85%,12319543,1.37,1.64,-21.71%,-15.26%,1.43%,-27.41%,75.87%,30.17,26.75,-0.85%,-2.94%,2.15%,12319543
105,PANW,"Palo Alto Networks, Inc.",Technology,Networking & Communication Devices,USA,10481.76,,117.68,-1.01%,2090848,1.08,4.38,-15.30%,-15.73%,-15.41%,-28.98%,3.50%,28.25,117.68,-1.01%,-1.19%,0.19%,2090848
96,IPHI,Inphi Corporation,Technology,Semiconductor - Broad Line,USA,1810.82,71.96,42.89,-1.88%,991811,1.46,1.57,-9.81%,-8.50%,4.61%,-17.17%,65.66%,28.58,42.89,-1.88%,-1.90%,0.02%,991811
97,NPTN,NeoPhotonics Corporation,Technology,Semiconductor - Broad Line,USA,386.61,,8.51,-5.55%,2212226,1.35,0.55,-21.20%,-21.76%,-31.68%,-54.02%,0.24%,25.46,8.51,-5.55%,-5.44%,-0.11%,2212226
98,TDS,"Telephone and Data Systems, Inc.",Technology,Wireless Communications,USA,2821.47,66.98,25.99,-0.35%,685569,1.23,0.78,-10.00%,-11.88%,-8.40%,-21.19%,8.30%,32.74,25.99,-0.35%,-0.50%,0.15%,685569
108,CPN,Calpine Corporation,Utilities,Electric Utilities,USA,3942.22,42.95,10.91,-0.91%,1995583,1,0.33,-5.65%,-6.48%,-13.85%,-32.11%,5.00%,35.25,10.91,-0.91%,-1.00%,0.09%,1995583
