"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
63,"ETSY","Etsy, Inc.","Services","Specialty Retail, Other","USA",1204.27,,10.37,-0.10%,1970100,63,"ETSY",,0.42,-6.99%,-14.02%,-15.33%,-35.39%,36.45%,36.53,10.37,-0.10%,0.00%,-0.10%,1970100
64,"YRCW","YRC Worldwide Inc.","Services","Trucking","USA",387.01,18.17,11.65,-1.52%,802438,64,"YRCW",3.60,0.52,-6.53%,-13.02%,-2.53%,-31.35%,47.28%,36.40,11.65,-1.52%,-1.60%,0.08%,802438
65,"UAL","United Continental Holdings, Inc.","Services","Major Airlines","USA",21013.47,8.92,66.79,-1.14%,5826600,65,"UAL",0.68,2.12,-8.63%,-8.66%,13.43%,-13.03%,78.54%,33.45,66.79,-1.14%,-1.52%,0.38%,5826600
66,"P","Pandora Media, Inc.","Services","Broadcasting - Radio","USA",2626.39,,11.48,-1.03%,7317500,66,"P",-0.24,0.46,-8.01%,-9.94%,-10.19%,-23.36%,42.61%,36.36,11.48,-1.03%,-1.96%,0.95%,7317500
67,"DAL","Delta Air Lines, Inc.","Services","Major Airlines","USA",34831.80,8.05,46.51,-1.90%,12231400,67,"DAL",0.85,1.11,-5.43%,-5.60%,8.00%,-11.50%,44.69%,36.75,46.51,-1.90%,-2.33%,0.44%,12231400
68,"JCP","J. C. Penney Company, Inc.","Services","Department Stores","USA",1846.72,,5.99,-2.76%,14362500,68,"JCP",0.72,0.28,-6.72%,-11.32%,-29.94%,-49.45%,2.39%,38.38,5.99,-2.76%,-3.54%,0.81%,14362500
69,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",21033.14,8.74,41.72,-0.97%,10180700,69,"AAL",,1.21,-7.47%,-9.21%,4.49%,-17.43%,69.19%,33.72,41.72,-0.97%,-0.67%,-0.31%,10180700
70,"FNSR","Finisar Corporation","Technology","Networking & Communication Devices","USA",3047.63,23.38,27.36,1.98%,4719300,70,"FNSR",1.39,1.53,-15.54%,-12.49%,2.96%,-25.75%,79.88%,36.19,27.36,1.98%,1.33%,0.63%,4719300
71,"GRUB","GrubHub Inc.","Technology","Internet Information Providers","USA",2948.95,59.70,34.33,-0.52%,1468800,71,"GRUB",,1.07,-2.62%,-8.72%,-7.03%,-22.99%,60.35%,39.61,34.33,-0.52%,-0.67%,0.14%,1468800
72,"PANW","Palo Alto Networks, Inc.","Technology","Networking & Communication Devices","USA",10659.15,,115.81,-1.00%,1611000,72,"PANW",1.05,3.69,-11.71%,-16.66%,-16.49%,-30.10%,1.86%,27.65,115.81,-1.00%,-1.42%,0.43%,1611000
73,"SHOR","ShoreTel, Inc.","Technology","Communication Equipment","USA",412.61,,6.05,-0.82%,783500,73,"SHOR",1.41,0.22,-5.97%,-11.63%,-16.16%,-29.32%,3.77%,30.37,6.05,-0.82%,0.00%,-0.82%,783500
74,"SNCR","Synchronoss Technologies, Inc.","Technology","Application Software","USA",1207.50,,26.25,-0.08%,852800,74,"SNCR",2.17,1.06,-6.63%,-22.45%,-31.22%,-47.44%,3.63%,27.51,26.25,-0.08%,0.08%,-0.15%,852800
75,"TDS","Telephone and Data Systems, Inc.","Technology","Wireless Communications","USA",2902.72,67.91,26.35,0.30%,1275700,75,"TDS",1.23,0.69,-5.19%,-9.28%,-6.44%,-19.62%,10.46%,39.51,26.35,0.30%,-0.26%,0.57%,1275700
76,"CPN","Calpine Corporation","Utilities","Electric Utilities","USA",3906.46,42.83,10.88,-2.86%,4222800,76,"CPN",1.00,0.33,-4.89%,-6.41%,-13.58%,-32.30%,4.72%,38.51,10.88,-2.86%,-2.07%,-0.80%,4222800
